,loss,accuracy,mean_iou,dice_coef,f1_score
0,0.07290593534708023,0.9267578125,0.6818679571151733,0.8688013553619385,0.3940403461456299
1,0.22524067759513855,0.77239990234375,0.4330068528652191,0.6413242220878601,0.3380838632583618
2,0.3755548596382141,0.6207275390625,0.3177086114883423,0.28654956817626953,0.15297895669937134
3,0.22733719646930695,0.77081298828125,0.41710400581359863,0.6474990248680115,0.3554328382015228
4,0.3058866560459137,0.6920166015625,0.4124167263507843,0.6276343464851379,0.4865363836288452
5,0.15891750156879425,0.8399658203125,0.5175224542617798,0.7418179512023926,0.40366342663764954
6,0.054700203239917755,0.9449462890625,0.7821434736251831,0.9336199164390564,0.5660145878791809
7,0.24798914790153503,0.74957275390625,0.3562442362308502,0.6817712783813477,0.4344751536846161
8,0.3546137809753418,0.64190673828125,0.3715197443962097,0.4436695873737335,0.3827056586742401
9,0.027055468410253525,0.97314453125,0.871026337146759,0.9655835032463074,0.5558395385742188
10,0.2362084537744522,0.7613525390625,0.3826693594455719,0.47162917256355286,0.19320686161518097
11,0.2589011788368225,0.7384033203125,0.4173767864704132,0.6058784127235413,0.3375779688358307
12,0.07747785747051239,0.921630859375,0.6354076266288757,0.8329602479934692,0.32705363631248474
13,0.5264236927032471,0.468505859375,0.19468742609024048,0.33864232897758484,0.2690824270248413
14,0.21236184239387512,0.78533935546875,0.5580069422721863,0.7566348314285278,0.5055866837501526
15,0.3446665108203888,0.6513671875,0.3269937336444855,0.2782719135284424,0.13680557906627655
16,0.03399476408958435,0.96588134765625,0.8555145859718323,0.9427992701530457,0.4578312933444977
17,0.07515566796064377,0.925048828125,0.6816010475158691,0.9175117611885071,0.6035966277122498
18,0.10948235541582108,0.889404296875,0.5760930776596069,0.8265379667282104,0.4248425364494324
19,0.18585678935050964,0.81268310546875,0.5565766096115112,0.8322319388389587,0.651744544506073
20,0.07515566796064377,0.925048828125,0.6816010475158691,0.9175117611885071,0.6035966277122498
21,0.22733719646930695,0.77081298828125,0.41710400581359863,0.6474990248680115,0.3554328382015228
22,0.027055468410253525,0.97314453125,0.871026337146759,0.9655835628509521,0.5558395385742188
23,0.07290593534708023,0.9267578125,0.6818679571151733,0.8688013553619385,0.3940403461456299
24,0.3446665108203888,0.6513671875,0.3269937336444855,0.2782719135284424,0.13680557906627655
25,0.07747785747051239,0.921630859375,0.6354076266288757,0.8329602479934692,0.32705363631248474
26,0.3546137809753418,0.64190673828125,0.3715197443962097,0.4436695873737335,0.3827056586742401
27,0.03399476408958435,0.96588134765625,0.8555145859718323,0.9427992701530457,0.4578312933444977
28,0.18585678935050964,0.81268310546875,0.5565766096115112,0.8322319388389587,0.651744544506073
29,0.3058866560459137,0.6920166015625,0.4124167263507843,0.6276343464851379,0.4865363836288452
